Key,Route Code,SUBROUTE,Dominant Marketing Airline,합계 : Pax,OBD,Weight,,,,
G/HND,G/HND,GMP-HND,,"155,365 ",0 ,0%,,,,
G/KIX7C,G/KIX,GMP-KIX,7C,"4,076 ","21,886 ",19%,,,,
G/KIXH1,G/KIX,GMP-KIX,H1,89 ,0 ,0%,,,,
G/KIXJL,G/KIX,GMP-KIX,JL,43 ,0 ,0%,,,,
G/KIXKE,G/KIX,GMP-KIX,KE,"24,577 ","19,877 ",124%,,,,
G/KIXNH,G/KIX,GMP-KIX,NH,216 ,0 ,0%,,,,
G/KIXOZ,G/KIX,GMP-KIX,OZ,"22,726 ","24,157 ",94%,,,,
I/CTS7C,I/CTS,ICN-CTS,7C,"3,244 ","17,548 ",18%,,,,
I/CTSET,I/CTS,ICN-CTS,ET,4 ,0 ,0%,,,,
I/CTSH1,I/CTS,ICN-CTS,H1,22 ,0 ,0%,,,,
I/CTSJL,I/CTS,ICN-CTS,JL,11 ,0 ,0%,,,,
I/CTSKE,I/CTS,ICN-CTS,KE,"26,108 ","15,888 ",164%,,,,
I/CTSLJ,I/CTS,ICN-CTS,LJ,"2,657 ","12,888 ",21%,,,,
I/CTSNH,I/CTS,ICN-CTS,NH,16 ,0 ,0%,,,,
I/CTSOZ,I/CTS,ICN-CTS,OZ,"9,065 ","9,306 ",97%,,,,
I/CTSTW,I/CTS,ICN-CTS,TW,"1,947 ","16,077 ",12%,,,,
I/CTSZE,I/CTS,ICN-CTS,ZE,"2,957 ","25,902 ",11%,,,,
I/FUK7C,I/FUK,ICN-FUK,7C,"13,730 ","44,287 ",31%,,,,
I/FUKBX,I/FUK,ICN-FUK,BX,"20,262 ","25,593 ",79%,,,,
I/FUKET,I/FUK,ICN-FUK,ET,1 ,0 ,0%,,,,
I/FUKH1,I/FUK,ICN-FUK,H1,37 ,0 ,0%,,,,
I/FUKJL,I/FUK,ICN-FUK,JL,34 ,0 ,0%,,,,
I/FUKKE,I/FUK,ICN-FUK,KE,"40,527 ","46,298 ",88%,,,,
I/FUKLJ,I/FUK,ICN-FUK,LJ,"18,286 ","45,648 ",40%,,,,
I/FUKNH,I/FUK,ICN-FUK,NH,36 ,0 ,0%,,,,
I/FUKOZ,I/FUK,ICN-FUK,OZ,"21,659 ","33,340 ",65%,,,,
I/FUKRS,I/FUK,ICN-FUK,RS,"15,494 ","19,404 ",80%,,,,
I/FUKTW,I/FUK,ICN-FUK,TW,"7,540 ","42,692 ",18%,,,,
I/FUKZE,I/FUK,ICN-FUK,ZE,"9,763 ","24,030 ",41%,,,,
I/KIX7C,I/KIX,ICN-KIX,7C,"13,868 ","51,660 ",27%,,,,
I/KIXBX,I/KIX,ICN-KIX,BX,"20,353 ","37,625 ",54%,,,,
I/KIXDL,I/KIX,ICN-KIX,DL,48 ,0 ,0%,,,,
I/KIXET,I/KIX,ICN-KIX,ET,1 ,0 ,0%,,,,
I/KIXH1,I/KIX,ICN-KIX,H1,174 ,0 ,0%,,,,
I/KIXJL,I/KIX,ICN-KIX,JL,16 ,0 ,0%,,,,
I/KIXKE,I/KIX,ICN-KIX,KE,"36,715 ","39,704 ",92%,,,,
I/KIXLJ,I/KIX,ICN-KIX,LJ,"18,335 ","49,395 ",37%,,,,
I/KIXNH,I/KIX,ICN-KIX,NH,145 ,0 ,0%,,,,
I/KIXOZ,I/KIX,ICN-KIX,OZ,"42,266 ","46,067 ",92%,,,,
I/KIXRS,I/KIX,ICN-KIX,RS,"27,050 ","25,056 ",108%,,,,
